Table with row headers in column A and column headers in rows 4 through 6,,,,,,,,,,,,,,,,,,,
Table 9. Poverty of People by Region: 1959 to 2024,,,,,,,,,,,,,,,,,,,
"(Population in thousands. Population as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar25.pdf>)",,,,,,,,,,,,,,,,,,,
Year,Total,,,Northeast,,,,Midwest,,,,South,,,,West,,,
,Total,Below poverty,,Total,Below poverty,,Percent of US poverty population living in Northeast,Total,Below poverty,,Percent of US poverty population living in Midwest,Total,Below poverty,,Percent of US poverty population living in South,Total,Below poverty,,Percent of US poverty population living in West
,,Number,Percent,,Number,Percent,,,Number,Percent,,,Number,Percent,,,Number,Percent,
2024,"337,300","35,880",10.6,"57,020","5,590",9.8,15.6,"68,900","6,692",9.7,18.7,"131,500","15,690",11.9,43.7,"79,850","7,905",9.9,22.0
2023,"331,800","36,790",11.1,"56,110","5,507",9.8,15.0,"68,190","6,654",9.8,18.1,"129,300","16,040",12.4,43.6,"78,260","8,587",11.0,23.3
2022,"330,100","37,920",11.5,"56,310","6,083",10.8,16.0,"67,830","6,648",9.8,17.5,"128,000","16,830",13.2,44.4,"77,970","8,364",10.7,22.1
2021,"328,200","37,930",11.6,"56,070","5,664",10.1,14.9,"68,000","7,043",10.4,18.6,"126,200","16,630",13.2,43.9,"77,930","8,592",11.0,22.7
2020 (2),"327,600","37,550",11.5,"56,350","5,734",10.2,15.3,"68,050","6,906",10.1,18.4,"125,300","16,650",13.3,44.4,"77,920","8,254",10.6,22.0
2019,"324,800","33,980",10.5,"55,100","5,177",9.4,15.2,"67,530","6,518",9.7,19.2,"124,100","14,850",12.0,43.7,"77,980","7,443",9.5,21.9
2018,"323,800","38,150",11.8,"55,270","5,682",10.3,14.9,"67,540","7,005",10.4,18.4,"123,500","16,760",13.6,43.9,"77,580","8,701",11.2,22.8
2017 (3),"322,500","39,560",12.3,"55,960","6,347",11.3,16.0,"67,340","7,571",11.2,19.1,"122,300","16,470",13.5,41.6,"76,980","9,172",11.9,23.2
2017,"322,500","39,700",12.3,"55,970","6,373",11.4,16.1,"67,350","7,647",11.4,19.3,"122,300","16,610",13.6,41.8,"76,980","9,069",11.8,22.8
2016,"319,900","40,620",12.7,"55,470","5,969",10.8,14.7,"66,900","7,809",11.7,19.2,"121,200","17,030",14.1,41.9,"76,380","9,810",12.8,24.2
2015,"318,500","43,120",13.5,"55,780","6,891",12.4,16.0,"67,030","7,849",11.7,18.2,"120,000","18,310",15.3,42.4,"75,690","10,080",13.3,23.4
2014,"315,800","46,660",14.8,"55,730","7,020",12.6,15.0,"67,130","8,714",13.0,18.7,"118,200","19,530",16.5,41.9,"74,760","11,390",15.2,24.4
2013 (4),"313,100","46,270",14.8,"55,530","7,205",13.0,15.6,"66,730","9,269",13.9,20.0,"117,000","19,040",16.3,41.2,"73,880","10,750",14.6,23.2
2013 (5),"313,000","45,320",14.5,"55,480","7,046",12.7,15.5,"66,790","8,590",12.9,19.0,"117,000","18,870",16.1,41.6,"73,740","10,810",14.7,23.9
2012,"310,600","46,500",15.0,"55,050","7,490",13.6,16.1,"66,340","8,851",13.3,19.0,"116,000","19,110",16.5,41.1,"73,300","11,050",15.1,23.8
2011,"308,500","46,250",15.0,"54,980","7,208",13.1,15.6,"66,020","9,221",14.0,19.9,"114,900","18,380",16.0,39.7,"72,520","11,440",15.8,24.7
2010 (6),"306,100","46,340",15.1,"54,710","7,038",12.9,15.2,"66,040","9,216",14.0,19.9,"113,700","19,120",16.8,41.3,"71,700","10,970",15.3,23.7
2009,"303,800","43,570",14.3,"54,570","6,650",12.2,15.3,"65,980","8,768",13.3,20.1,"112,200","17,610",15.7,40.4,"71,100","10,540",14.8,24.2
2008,"301,000","39,830",13.2,"54,120","6,295",11.6,15.8,"65,590","8,120",12.4,20.4,"110,700","15,860",14.3,39.8,"70,660","9,552",13.5,24.0
2007,"298,700","37,280",12.5,"53,950","6,166",11.4,16.5,"65,400","7,237",11.1,19.4,"109,500","15,500",14.2,41.6,"69,800","8,372",12.0,22.5
2006,"296,500","36,460",12.3,"54,070","6,222",11.5,17.1,"65,410","7,324",11.2,20.1,"107,900","14,880",13.8,40.8,"69,070","8,032",11.6,22.0
2005,"293,100","36,950",12.6,"54,010","6,103",11.3,16.5,"64,970","7,419",11.4,20.1,"106,100","14,850",14.0,40.2,"68,060","8,573",12.6,23.2
2004 (7),"290,600","37,040",12.7,"53,910","6,260",11.6,16.9,"64,740","7,545",11.7,20.4,"104,900","14,820",14.1,40.0,"67,080","8,419",12.5,22.7
