"SNAP average monthly participation and inflation-adjusted annual program spending, fiscal years 2000–24",,
Fiscal year,Average monthly participation (millions of people),Inflation-adjusted annual spending (billions 2024 dollars)
2000,17.2,28.529
2001,17.3,29.174
2002,19.1,33.405
2003,21.2,37.758
2004,23.8,41.922
2005,25.6,46.722
2006,26.5,48.121
2007,26.3,47.302
2008,28.2,52.128
2009,33.5,74.467
2010,40.3,93.163
2011,44.7,100.715
2012,46.6,102.431
2013,47.6,102.964
2014,46.7,94.170
2015,45.8,93.854
2016,44.2,89.100
2017,42.3,84.191
2018,40.8,79.203
2019,38.0,72.040
2020,39.9,93.425
2021,41.6,128.192
2022,41.2,127.055
2023,42.2,115.874
2024,41.7,99.788
FY = Fiscal year. SNAP = Supplemental Nutrition Assistance Program.,,
"Note: Table is based on preliminary data from the September 2024 Program Information Report (Keydata) released by USDA, Food and Nutrition Service (FNS) in December 2024. Spending was adjusted for inflation to 2024 dollars using the Personal Consumption Expenditures price index, U.S. Department of Commerce, Bureau of Economic Analysis. FY 2019 average monthly participation excludes January and February 2019 counts, which were affected by a partial Federal Government shutdown.",,
"Source: USDA, Economic Research Service using USDA, FNS data.",,
