Year,Unemployment rate (percent),Poverty rate (percent),SNAP participation rate (percent),Food insecurity rate (percent),Recession occurred in year
1980,7.1,13.0,9.3,N/A,1
1981,7.6,14.0,9.8,N/A,1
1982,9.7,15.0,9.4,N/A,1
1983,9.6,15.2,9.2,N/A,1
1984,7.5,14.4,8.8,N/A,0
1985,7.2,14.0,8.4,N/A,0
1986,7.0,13.6,8.1,N/A,0
1987,6.2,13.4,7.9,N/A,0
1988,5.5,13.0,7.6,N/A,0
1989,5.3,12.8,7.6,N/A,0
1990,5.6,13.5,8.0,N/A,1
1991,6.8,14.2,9.0,N/A,1
1992,7.5,14.8,10.0,N/A,1
1993,6.9,15.1,10.5,N/A,0
1994,6.1,14.5,10.6,N/A,0
1995,5.6,13.8,10.1,N/A,0
1996,5.4,13.7,9.6,N/A,0
1997,4.9,13.3,8.5,N/A,0
1998,4.5,12.7,7.3,N/A,0
1999,4.2,11.9,6.7,N/A,0
2000,4.0,11.3,6.1,N/A,0
2001,4.7,11.7,6.1,10.7,1
2002,5.8,12.1,6.6,11.1,1
2003,6.0,12.5,7.3,11.2,0
2004,5.5,12.7,8.1,11.9,0
2005,5.1,12.6,8.7,11.0,0
2006,4.6,12.3,8.9,10.9,0
2007,4.6,12.5,8.7,11.1,1
2008,5.8,13.2,9.3,14.6,1
2009,9.3,14.3,10.9,14.7,1
2010,9.6,15.1,13.0,14.5,1
2011,8.9,15.0,14.4,14.9,0
2012,8.1,15.0,14.9,14.5,0
2013,7.4,14.8,15.1,14.3,0
2014,6.2,14.8,14.7,14.0,0
2015,5.3,13.5,14.3,12.7,0
2016,4.9,12.7,13.7,12.3,0
2017,4.4,12.3,13.0,11.8,0
2018,3.9,11.8,12.5,11.1,0
2019,3.7,10.5,11.6,10.5,0
2020,8.1,11.5,12.0,10.5,1
2021,5.3,11.6,12.5,10.2,1
2022,3.6,11.5,12.3,12.8,0
2023,3.6,11.1,12.5,13.5,0
2024,4.0,N/A,12.3,N/A,0
