state,month,households,persons,region,year
Connecticut,Oct 2020,213541,365607,NERO,2021
Connecticut,Nov 2020,210279,360157,NERO,2021
Connecticut,Dec 2020,213589,365498,NERO,2021
Connecticut,Jan 2021,215623,368684,NERO,2021
Connecticut,Feb 2021,218820,373747,NERO,2021
Connecticut,Mar 2021,220100,376924,NERO,2021
Connecticut,Apr 2021,220041,376581,NERO,2021
Connecticut,May 2021,221469,379351,NERO,2021
Connecticut,Jun 2021,219465,376195,NERO,2021
Connecticut,Jul 2021,217064,372661,NERO,2021
Connecticut,Aug 2021,217290,372430,NERO,2021
Connecticut,Sep 2021,217441,371752,NERO,2021
Maine,Oct 2020,88453,154604,NERO,2021
Maine,Nov 2020,88146,153835,NERO,2021
Maine,Dec 2020,89024,155609,NERO,2021
Maine,Jan 2021,89795,159136,NERO,2021
Maine,Feb 2021,89686,158524,NERO,2021
Maine,Mar 2021,90238,158530,NERO,2021
Maine,Apr 2021,90083,157806,NERO,2021
Maine,May 2021,90246,157907,NERO,2021
Maine,Jun 2021,90883,158772,NERO,2021
Maine,Jul 2021,92256,163452,NERO,2021
Maine,Aug 2021,91818,161526,NERO,2021
Maine,Sep 2021,90729,157458,NERO,2021
Massachusetts,Oct 2020,523295,881314,NERO,2021
Massachusetts,Nov 2020,526668,886834,NERO,2021
Massachusetts,Dec 2020,535307,900624,NERO,2021
Massachusetts,Jan 2021,546184,916806,NERO,2021
Massachusetts,Feb 2021,556693,933727,NERO,2021
Massachusetts,Mar 2021,551392,925152,NERO,2021
Massachusetts,Apr 2021,565535,947324,NERO,2021
Massachusetts,May 2021,568905,952856,NERO,2021
Massachusetts,Jun 2021,556902,934657,NERO,2021
Massachusetts,Jul 2021,557458,936275,NERO,2021
Massachusetts,Aug 2021,573168,959000,NERO,2021
Massachusetts,Sep 2021,582155,973777,NERO,2021
New Hampshire,Oct 2020,36984,70164,NERO,2021
New Hampshire,Nov 2020,36812,69973,NERO,2021
New Hampshire,Dec 2020,36849,70106,NERO,2021
New Hampshire,Jan 2021,36044,68802,NERO,2021
New Hampshire,Feb 2021,35880,68540,NERO,2021
New Hampshire,Mar 2021,36385,69697,NERO,2021
New Hampshire,Apr 2021,36054,68932,NERO,2021
New Hampshire,May 2021,35888,68834,NERO,2021
New Hampshire,Jun 2021,35792,68773,NERO,2021
New Hampshire,Jul 2021,35875,68530,NERO,2021
New Hampshire,Aug 2021,35913,68125,NERO,2021
New Hampshire,Sep 2021,36236,68920,NERO,2021
New York,Oct 2020,1607378,2781742,NERO,2021
New York,Nov 2020,1570998,2720372,NERO,2021
New York,Dec 2020,1580350,2742577,NERO,2021
New York,Jan 2021,1587973,2758288,NERO,2021
New York,Feb 2021,1588466,2760769,NERO,2021
New York,Mar 2021,1603503,2790766,NERO,2021
New York,Apr 2021,1619537,2818184,NERO,2021
New York,May 2021,1620281,2815830,NERO,2021
New York,Jun 2021,1628591,2826820,NERO,2021
New York,Jul 2021,1608545,2798640,NERO,2021
New York,Aug 2021,1598529,2778310,NERO,2021
New York,Sep 2021,1598508,2776268,NERO,2021
Rhode Island,Oct 2020,83520,136608,NERO,2021
Rhode Island,Nov 2020,84200,137904,NERO,2021
Rhode Island,Dec 2020,86159,141547,NERO,2021
Rhode Island,Jan 2021,87388,143774,NERO,2021
Rhode Island,Feb 2021,88044,144535,NERO,2021
Rhode Island,Mar 2021,89241,146326,NERO,2021
Rhode Island,Apr 2021,89353,146389,NERO,2021
Rhode Island,May 2021,88403,144604,NERO,2021
Rhode Island,Jun 2021,88011,143788,NERO,2021
Rhode Island,Jul 2021,86661,141617,NERO,2021
Rhode Island,Aug 2021,85955,139478,NERO,2021
Rhode Island,Sep 2021,86007,139212,NERO,2021
Vermont,Oct 2020,39241,68247,NERO,2021
Vermont,Nov 2020,39243,68319,NERO,2021
Vermont,Dec 2020,39883,69642,NERO,2021
Vermont,Jan 2021,40065,69726,NERO,2021
Vermont,Feb 2021,40153,69817,NERO,2021
Vermont,Mar 2021,39946,69295,NERO,2021
Vermont,Apr 2021,39492,68320,NERO,2021
Vermont,May 2021,39061,67299,NERO,2021
Vermont,Jun 2021,38421,65969,NERO,2021
Vermont,Jul 2021,38387,65991,NERO,2021
Vermont,Aug 2021,38133,65226,NERO,2021
Vermont,Sep 2021,38329,65624,NERO,2021
Delaware,Oct 2020,61142,122298,MARO,2021
Delaware,Nov 2020,59423,119290,MARO,2021
Delaware,Dec 2020,59306,119525,MARO,2021
Delaware,Jan 2021,58556,118049,MARO,2021
Delaware,Feb 2021,55532,112425,MARO,2021
Delaware,Mar 2021,55596,113352,MARO,2021
Delaware,Apr 2021,56136,113565,MARO,2021
Delaware,May 2021,56826,114739,MARO,2021
Delaware,Jun 2021,56642,114123,MARO,2021
Delaware,Jul 2021,57062,114941,MARO,2021
Delaware,Aug 2021,56955,113932,MARO,2021
Delaware,Sep 2021,55358,109563,MARO,2021
District of Columbia,Oct 2020,81877,134659,MARO,2021
District of Columbia,Nov 2020,82915,136823,MARO,2021
