state,month,households,persons,region,year,date
Connecticut,Oct 2018,217619.0,376447.0,NERO,2018,2018-10-01
Connecticut,Nov 2018,216134.0,374230.0,NERO,2018,2018-11-01
Connecticut,Dec 2018,215283.0,372079.0,NERO,2018,2018-12-01
Connecticut,Jan 2019,215132.0,371393.0,NERO,2019,2019-01-01
Connecticut,Feb 2019,19891.0,39270.0,NERO,2019,2019-02-01
Connecticut,Mar 2019,213248.0,366453.0,NERO,2019,2019-03-01
Connecticut,Apr 2019,212331.0,364182.0,NERO,2019,2019-04-01
Connecticut,May 2019,212602.0,364456.0,NERO,2019,2019-05-01
Connecticut,Jun 2019,212355.0,363578.0,NERO,2019,2019-06-01
Connecticut,Jul 2019,212611.0,364092.0,NERO,2019,2019-07-01
Connecticut,Aug 2019,213062.0,364704.0,NERO,2019,2019-08-01
Connecticut,Sep 2019,212861.0,364474.0,NERO,2019,2019-09-01
Maine,Oct 2018,86368.0,159320.0,NERO,2018,2018-10-01
Maine,Nov 2018,85990.0,158401.0,NERO,2018,2018-11-01
Maine,Dec 2018,85243.0,157026.0,NERO,2018,2018-12-01
Maine,Jan 2019,85308.0,157160.0,NERO,2019,2019-01-01
Maine,Feb 2019,5313.0,10078.0,NERO,2019,2019-02-01
Maine,Mar 2019,84826.0,155564.0,NERO,2019,2019-03-01
Maine,Apr 2019,85139.0,155769.0,NERO,2019,2019-04-01
Maine,May 2019,85445.0,156166.0,NERO,2019,2019-05-01
Maine,Jun 2019,85564.0,156232.0,NERO,2019,2019-06-01
Maine,Jul 2019,85292.0,155749.0,NERO,2019,2019-07-01
Maine,Aug 2019,85862.0,156079.0,NERO,2019,2019-08-01
Maine,Sep 2019,85996.0,155648.0,NERO,2019,2019-09-01
Massachusetts,Oct 2018,451379.0,768374.0,NERO,2018,2018-10-01
Massachusetts,Nov 2018,451033.0,767420.0,NERO,2018,2018-11-01
Massachusetts,Dec 2018,448876.0,762672.0,NERO,2018,2018-12-01
Massachusetts,Jan 2019,447729.0,759254.0,NERO,2019,2019-01-01
Massachusetts,Feb 2019,49078.0,83104.0,NERO,2019,2019-02-01
Massachusetts,Mar 2019,446236.0,754623.0,NERO,2019,2019-03-01
Massachusetts,Apr 2019,445664.0,752757.0,NERO,2019,2019-04-01
Massachusetts,May 2019,446143.0,752862.0,NERO,2019,2019-05-01
Massachusetts,Jun 2019,447612.0,754843.0,NERO,2019,2019-06-01
Massachusetts,Jul 2019,450879.0,759398.0,NERO,2019,2019-07-01
Massachusetts,Aug 2019,453658.0,762684.0,NERO,2019,2019-08-01
Massachusetts,Sep 2019,455252.0,764203.0,NERO,2019,2019-09-01
New Hampshire,Oct 2018,40944.0,79727.0,NERO,2018,2018-10-01
New Hampshire,Nov 2018,40803.0,79137.0,NERO,2018,2018-11-01
New Hampshire,Dec 2018,40376.0,78053.0,NERO,2018,2018-12-01
New Hampshire,Jan 2019,40708.0,78653.0,NERO,2019,2019-01-01
New Hampshire,Feb 2019,2880.0,5614.0,NERO,2019,2019-02-01
New Hampshire,Mar 2019,39972.0,76762.0,NERO,2019,2019-03-01
New Hampshire,Apr 2019,39760.0,76113.0,NERO,2019,2019-04-01
New Hampshire,May 2019,39479.0,75411.0,NERO,2019,2019-05-01
New Hampshire,Jun 2019,39015.0,74354.0,NERO,2019,2019-06-01
New Hampshire,Jul 2019,38754.0,73837.0,NERO,2019,2019-07-01
New Hampshire,Aug 2019,38777.0,73775.0,NERO,2019,2019-08-01
New Hampshire,Sep 2019,38747.0,73506.0,NERO,2019,2019-09-01
New York,Oct 2018,1536243.0,2727462.0,NERO,2018,2018-10-01
New York,Nov 2018,1527245.0,2706697.0,NERO,2018,2018-11-01
New York,Dec 2018,1527054.0,2702602.0,NERO,2018,2018-12-01
New York,Jan 2019,1531428.0,2705107.0,NERO,2019,2019-01-01
New York,Feb 2019,1526845.0,2690578.0,NERO,2019,2019-02-01
New York,Mar 2019,1522410.0,2681717.0,NERO,2019,2019-03-01
New York,Apr 2019,1514547.0,2662511.0,NERO,2019,2019-04-01
New York,May 2019,1505591.0,2642450.0,NERO,2019,2019-05-01
New York,Jun 2019,1496844.0,2623177.0,NERO,2019,2019-06-01
